brand,model,processor_brand,processor_name,processor_gnrtn,ram_GB,ram_type,ssd,hdd,os,os_bit,graphic_card_GB,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
Infinix,INBook,Intel,Core i3,10th,8 GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,428.87,649.99,34.02%,4.3,1221,265
Infinix,INBook,Intel,Core i5,10th,8 GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,552.37,779.99,29.18%,4.1,383,65
Infinix,X1,Intel,Core i7,10th,16 GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,8,Casual,14,0,No,No,714.87,909.99,21.44%,4.3,57,14
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,324.87,426.27,23.79%,3.7,63,12
Lenovo,Ideapad,AMD,APU Dual,10th,4 GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,254.67,277.23,8.14%,3.6,1894,256
Lenovo,APU,AMD,APU Dual,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,284.65,0.00,0.00%,3.9,219,18
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,506.99,555.17,8.68%,3.8,65,5
Lenovo,v15,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,519.99,571.99,9.09%,3.1,8,1
Lenovo,Missing,Intel,Core i5,10th,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,14,0,No,No,649.99,767.00,15.26%,0,0,0
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,415.99,506.99,17.95%,4,286,19
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,413.39,480.99,14.05%,0,0,0
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,493.87,753.87,34.49%,4.3,2080,235
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,506.87,791.57,35.97%,4.2,33,4
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,493.87,753.87,34.49%,4.2,286,36
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,519.87,800.67,35.07%,4.3,543,65
Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,701.87,981.37,28.48%,4.4,299,41
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,506.22,626.60,19.21%,4.3,758,64
Lenovo,Ideapad,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,519.99,779.99,33.33%,5,4,0
Lenovo,Ideapad,Intel,Core i3,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,545.87,744.77,26.71%,4.4,1084,160
Lenovo,Missing,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,506.87,670.07,24.36%,4.4,106,13
Lenovo,ThinkPad,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,584.87,770.11,24.05%,4.1,42,4
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,474.37,699.27,32.16%,0,0,0
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,506.61,735.67,31.14%,0,0,0
Lenovo,Ideapad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,522.60,649.99,19.60%,3.9,48,1
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,532.87,738.40,27.83%,3.7,3,0
Lenovo,IdeaPad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,545.97,735.67,25.79%,4.4,529,39
Lenovo,Ideapad,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,2,No,Yes,519.99,779.99,33.33%,0,0,0
Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,519.97,781.17,33.44%,4.2,10,1
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,545.87,647.40,15.68%,3.7,3,0
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,532.87,635.70,16.18%,5,1,1
Lenovo,V15,Intel,Core i3,11th,4 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,571.87,653.25,12.46%,0,0,0
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,506.87,808.47,37.31%,3.9,13,1
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,714.87,1035.97,31.00%,4.5,245,34
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,558.87,829.27,32.61%,4.4,984,99
Lenovo,Ideapad,Intel,Core i3,11th,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,753.99,1105.00,31.77%,3.4,10,2
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,467.87,744.77,37.18%,4,2124,233
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,506.87,726.57,30.24%,0,0,0
Lenovo,Missing,Intel,Core i3,10th,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,480.87,753.87,36.21%,3.7,103,10
Lenovo,Missing,Intel,Core i3,10th,8 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,506.99,662.87,23.52%,3.6,7,2
Lenovo,Celeron,Intel,Celeron Dual,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,389.99,486.20,19.79%,3.3,19,1
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,337.87,526.37,35.81%,3.7,84,16
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,220.87,322.92,31.60%,3.4,414,54
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,324.87,453.57,28.37%,2.8,70,16
Lenovo,Ideapad,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,948.87,1170.00,18.90%,4.2,204,19
Lenovo,Ideapad,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,2,Casual,Missing,0,No,No,610.87,809.77,24.56%,4.2,4428,569
Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,643.37,980.07,34.35%,4.3,365,35
Lenovo,Yoga,Intel,Core i5,10th,8 GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,1338.87,1818.57,26.38%,4.6,79,14
Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,805.99,896.99,10.15%,2.8,4,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,2,No,Yes,688.87,967.07,28.77%,4.2,300,24
Lenovo,Ideapad,Intel,Core i5,11th,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,809.90,1318.07,38.55%,4.4,825,95
Lenovo,Missing,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,688.87,1103.57,37.58%,0,0,0
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,675.87,1156.87,41.58%,4.2,85,4
